Vehicle_ID,Vehicle_Type,Fuel_Type,Current_Zone,Capacity,Energy_Level(%),Is_Charging_Station_Zone
V001,Ambulance,EV,Hospital,1,36,Yes
V002,Bus,ICE,Mall,54,72,Yes
V003,Delivery Bike,EV,Suburbs,2,60,Yes
V004,Van,ICE,Bus Terminal,4,79,No
V005,Bus,EV,IT Park,36,59,No
V006,Van,ICE,IT Park,4,52,No
V007,Delivery Bike,ICE,University,2,76,No
V008,Van,ICE,IT Park,1,92,No
V009,Truck,ICE,Hospital,7346,98,Yes
V010,Taxi,EV,Hospital,2,67,Yes
V011,Van,EV,Mall,3,59,Yes
V012,Truck,EV,Mall,10041,80,Yes
V013,Bus,ICE,Residential Area,59,96,No
V014,Bus,ICE,Downtown,30,87,No
V015,Ambulance,ICE,Downtown,1,45,No
V016,Delivery Bike,ICE,Suburbs,1,77,Yes
V017,Van,ICE,Bus Terminal,2,39,No
V018,Delivery Bike,EV,Harbor,1,57,Yes
V019,Ambulance,EV,Bus Terminal,1,38,No
V020,Ambulance,ICE,Residential Area,1,65,No
V021,Van,ICE,Downtown,5,88,No
V022,Bus,ICE,Industrial Zone,32,75,Yes
V023,Van,EV,Industrial Zone,1,93,Yes
V024,Taxi,ICE,Downtown,3,37,No
V025,Taxi,EV,Mall,5,92,Yes
V026,Ambulance,EV,Downtown,1,25,No
V027,Truck,EV,University,10488,58,No
V028,Van,ICE,Suburbs,4,89,Yes
V029,Ambulance,ICE,Downtown,1,83,No
V030,Taxi,EV,Railway Station,1,56,No
V031,Bus,EV,Downtown,56,75,No
V032,Bus,ICE,IT Park,58,31,No
V033,Van,ICE,Harbor,3,87,Yes
V034,Bus,ICE,Industrial Zone,35,89,Yes
V035,Bus,EV,University,33,59,No
V036,Taxi,ICE,Suburbs,4,66,Yes
V037,Van,EV,Harbor,2,37,Yes
V038,Truck,EV,Industrial Zone,12829,82,Yes
V039,Ambulance,EV,Railway Station,1,30,No
V040,Ambulance,EV,Suburbs,1,77,Yes
V041,Truck,ICE,Railway Station,18516,86,No
V042,Bus,ICE,IT Park,51,33,No
V043,Bus,ICE,Railway Station,58,36,No
V044,Ambulance,ICE,Hospital,1,83,Yes
V045,Delivery Bike,EV,IT Park,2,87,No
V046,Delivery Bike,ICE,Residential Area,1,30,No
V047,Ambulance,ICE,Airport,1,32,No
V048,Ambulance,ICE,Hospital,1,67,Yes
V049,Taxi,EV,Residential Area,5,20,No
V050,Ambulance,ICE,University,1,58,No
V051,Ambulance,EV,Industrial Zone,1,24,Yes
V052,Bus,EV,Residential Area,57,93,No
V053,Van,ICE,Bus Terminal,2,50,No
V054,Taxi,ICE,IT Park,5,96,No
V055,Delivery Bike,ICE,Suburbs,2,76,Yes
V056,Ambulance,ICE,Suburbs,1,64,Yes
V057,Van,EV,Railway Station,5,87,No
